Agency,Population,Murder Offenses,Murder Clearances,Murder Value_Stolen,NgMansl Offenses,NgMansl Clearances,Rape Value_Stolen,Rape Committed Offenses,Rape Committed Clearances,Rape Attempted Offenses,Rape Attempted Clearances,Robbery Highway Offenses,Robbery Highway Value_Stolen,Robbery Commercial_House Offenses,Robbery Commercial_House Value_Stolen,Robbery Gas/Service_Station Offenses,Robbery Gas/Service_Station Value_Stolen,Robbery Chain_Store Offenses,Robbery Chain_Store Value_Stolen,Robbery Residence Offenses,Robbery Residence Value_Stolen,Robbery Bank Offenses,Robbery Bank Value_Stolen,Robbery Miscellaneous Offenses,Robbery Miscellaneous Value_Stolen,Robbery Firearm Offenses,Robbery Firearm Clearances,Robbery Knife_Cutting_Instrument Offenses,Robbery Knife_Cutting_Instrument Clearances,Robbery Other_Dangerous_Weapon Offenses,Robbery Other_Dangerous_Weapon Clearances,Robbery Hands_Fists_Feet_etc. Offenses,Robbery Hands_Fists_Feet_etc. Clearances,AgAsslt Firearm Offenses,AgAsslt Firearm Clearances,AgAsslt Knife_Cutting_Instrument Offenses,AgAsslt Knife_Cutting_Instrument Clearances,AgAsslt Other_Dangerous_Weapon Offenses,AgAsslt Other_Dangerous_Weapon Clearances,AgAsslt Hands_Fists_Feet_etc. Offenses,AgAsslt Hands_Fists_Feet_etc. Clearances,Burglary Residence_Night Offenses,Burglary Residence_Night Value_Stolen,Burglary Residence_Day Offenses,Burglary Residence_Day Value_Stolen,Burglary Residence_Unknown Offenses,Burglary Residence_Unknown Value_Stolen,Burglary Non-residence_Night Offenses,Burglary Non-residence_Night Value_Stolen,Burglary Non-residence_Day Offenses,Burglary Non-residence_Day Value_Stolen,Burglary Non-residence_Unknown Offenses,Burglary Non-residence_Unknown Value_Stolen,Burglary Forcible_Entry Offenses,Burglary Forcible_Entry Clearances,Burglary Unlawful_Entry-No_Force Offenses,Burglary Unlawful_Entry-No_Force Clearances,Burglary Attempted_Forcible_Entry Offenses,Burglary Attempted_Forcible_Entry Clearances,Larceny Pocket-picking Offenses,Larceny Pocket-picking Value_Stolen,Larceny Purse-snatching Offenses,Larceny Purse-snatching Value_Stolen,Larceny Shoplifting Offenses,Larceny Shoplifting Value_Stolen,Larceny From_Motor_Vehicles Offenses,Larceny From_Motor_Vehicles Value_Stolen,Larceny MV_Parts_&_Accessories Offenses,Larceny MV_Parts_&_Accessories Value_Stolen,Larceny Bicycles Offenses,Larceny Bicycles Value_Stolen,Larceny From_Buildings Offenses,Larceny From_Buildings Value_Stolen,Larceny Coin-operated_Machines Offenses,Larceny Coin-operated_Machines Value_Stolen,Larceny All_Other Offenses,Larceny All_Other Value_Stolen,Larceny $200_and_Over Offenses,Larceny $200_and_Over Value_Stolen,Larceny $50_to_$200 Offenses,Larceny $50_to_$200 Value_Stolen,Larceny Under_$50 Offenses,Larceny Under_$50 Value_Stolen,Larceny Clearances,MVTheft Auto Offenses,MVTheft Auto Clearances,MVTheft Trucks_&_Buses Offenses,MVTheft Trucks_&_Buses Clearances,MVTheft Other_Vehicles Offenses,MVTheft Other_Vehicles Clearances,MVTheft Value_Stolen,Arson Structural Offenses,Arson Structural Clearances,Arson Structural Value_Damaged,Arson Mobile Offenses,Arson Mobile Clearances,Arson Mobile Value_Damaged,Arson Other Offenses,Arson Other Clearances,Arson Other Value_Damaged,SmAsslt Offenses,SmAsslt Clearances,Total_Value_Recovered,Murder Weapon Firearm,Murder Weapon Handgun,Murder Weapon Rifle,Murder Weapon Shotgun,Murder Weapon Other_gun,Murder Weapon Knife,Murder Weapon Blunt_Object,Murder Weapon Motor_Vehicle,Murder Weapon Personal_Weap,Murder Weapon Poison,Murder Weapon Explosives,Murder Weapon Fire,Murder Weapon Narcotics,Murder Weapon Asphyxiation,Murder Weapon Other,Murder Weapon Unknown,"Murder Relationship Spouse, Female","Murder Relationship Spouse, Male","Murder Relationship Live-In, Female","Murder Relationship Live-In, Male","Murder Relationship Ex-Live-In, Female","Murder Relationship Ex-Live-In, Male","Murder Relationship Co-Procreator, Female","Murder Relationship Co-Procreator, Male","Murder Relationship Parent, Female","Murder Relationship Parent, Male","Murder Relationship Child, Female","Murder Relationship Child, Male","Murder Relationship Sibling, Female","Murder Relationship Sibling, Male","Murder Relationship Grandparent, Female","Murder Relationship Grandparent, Male","Murder Relationship Grandchild, Female","Murder Relationship Grandchild, Male","Murder Relationship In-law, Female","Murder Relationship In-law, Male","Murder Relationship Stepparent, Female","Murder Relationship Stepparent, Male","Murder Relationship Stepchild, Female","Murder Relationship Stepchild, Male","Murder Relationship Other_Family, Female","Murder Relationship Other_Family, Male","Murder Relationship Neighbor, Female","Murder Relationship Neighbor, Male","Murder Relationship Acquaintance, Female","Murder Relationship Acquaintance, Male","Murder Relationship Boy/Girlfriend, Female","Murder Relationship Boy/Girlfriend, Male","Murder Relationship Babysittee, Female","Murder Relationship Babysittee, Male","Murder Relationship Child_of_Partner, Female","Murder Relationship Child_of_Partner, Male","Murder Relationship Ex-spouse, Female","Murder Relationship Ex-spouse, Male","Murder Relationship Employee, Female","Murder Relationship Employee, Male","Murder Relationship Employer, Female","Murder Relationship Employer, Male","Murder Relationship Friend, Female","Murder Relationship Friend, Male","Murder Relationship Same_Sex_Relat, Female","Murder Relationship Same_Sex_Relat, Male","Murder Relationship Oth_Known_Pers, Female","Murder Relationship Oth_Known_Pers, Male","Murder Relationship Stranger, Female","Murder Relationship Stranger, Male","Murder Relationship Unknown, Female","Murder Relationship Unknown, Male",Murder Circumstance Argument,Murder Circumstance LEOKA,Murder Circumstance Drug_Dealing,Murder Circumstance Gangland,Murder Circumstance Juvenile_Gang,Murder Circumstance Lovers_Quarrel,Murder Circumstance Mercy_Killing,Murder Circumstance Other_Felony,Murder Circumstance Other,Murder Circumstance Unknown,LEOKA Homicides,LEOKA Assault Offenses,LEOKA Assault Clearances
Connecticut,3590333,143,118,12564,0,3,2352,887,212,36,15,2177,890153,538,345901,86,47234,194,128000,330,524052,72,374540,294,141024,1264,275,359,118,291,106,1777,570,711,276,1174,813,2021,1347,1504,1023,3252,8482455,6110,14425645,1772,3880360,1540,2469209,1584,3144349,480,989928,8295,1202,5030,926,1413,159,261,98923,132,29910,11669,3134854,12664,6767806,5284,2519507,1544,462547,10029,13082410,206,87523,14232,40729376,25191,65232439,14163,1448475,16667,231942,12590,5401,556,208,10,832,101,29163130,155,37,5847463,113,5,682814,109,34,42988,31677,21526,22265500,22,60,27,1,0,17,7,1,3,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,3,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,3,19,15,4,58,27,0,6,1,3,3,0,36,27,40,0,902,809
Andover,3201,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,232,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3291,2,1194,0,0,0,0,0,0,0,0,1,6,2,1,1,0,0,0,0,0,1,600,1,500,0,0,1,900,0,0,0,0,3,2879,5,4720,1,159,0,0,1,0,0,1,0,0,0,2500,0,0,0,0,0,0,0,0,0,6,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ansonia PD,19560,0,0,0,0,0,0,4,1,0,0,9,3908,1,35,2,364,0,0,2,740,0,0,1,893,4,1,2,0,3,2,6,3,2,0,4,2,4,3,0,0,26,118184,30,33754,0,0,15,9278,10,22946,0,0,53,8,21,4,7,2,0,0,0,0,96,11111,71,21638,20,2725,8,3255,67,86706,1,1230,54,118663,127,232149,112,11626,78,1553,86,53,5,1,0,4,3,274000,1,0,1,0,0,0,0,1,0,266,163,151510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Ashford CSP,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,908,3,0,0,0,2,4300,2,4500,0,0,3,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7417,6,7191,2,226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,5008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon PD,16689,0,0,0,0,0,0,2,0,0,0,0,0,2,119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,5065,9,24262,0,0,7,16244,5,8206,0,0,14,2,5,0,6,0,2,44,0,0,41,22169,31,17603,1,5000,0,0,42,92745,0,0,26,52325,84,186486,28,3008,31,392,35,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,29,9,19995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barkhamsted CSP,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,70,1,0,0,0,0,0,1,2924,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,400,0,0,0,0,0,0,0,0,8,7304,7,7693,0,0,2,11,3,4,0,0,0,1,0,15396,0,0,0,0,0,0,0,0,0,19,16,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beacon Falls CSP,5530,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16849,4,14450,0,0,1,0,2,8570,0,0,3,1,8,5,1,0,0,0,0,0,0,0,7,2818,2,3600,0,0,3,108,0,0,12,27222,16,33513,3,211,5,24,7,7,0,0,0,0,0,39200,0,0,0,0,0,0,0,0,0,59,48,3409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin PD,19204,0,0,0,0,0,0,0,0,0,0,0,0,1,500,0,0,1,100,1,100,1,5757,1,90,3,1,0,0,1,0,1,2,4,1,1,1,7,4,4,4,11,67434,21,74966,0,0,14,12920,9,15996,0,0,32,6,20,3,3,0,0,0,0,0,17,2109,74,50469,12,8415,6,1934,45,101544,1,0,90,193365,137,350820,56,6197,52,819,36,9,0,0,0,1,0,67457,0,0,0,1,0,5000,1,0,1,160,87,7276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Bethany CSP,5313,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6828,10,23319,0,0,1,0,0,0,0,0,7,0,9,0,2,0,0,0,0,0,0,0,5,3641,2,1600,0,0,6,14950,0,0,13,16564,18,36304,4,410,4,41,4,0,2,0,0,1,0,2500,0,0,0,0,0,0,0,0,0,21,16,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethel PD,19046,0,0,0,0,0,0,3,0,0,0,0,0,2,300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,33,134362,0,0,0,0,15,5252,24,6,22,4,2,0,0,0,0,0,55,15231,84,19290,8,23867,5,2300,16,34576,1,0,99,89873,123,175549,80,8948,65,640,65,5,1,5,1,0,0,83415,2,1,5350,0,0,0,0,0,0,58,49,98966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bethlehem CSP,3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,900,1,1,0,0,1,1460,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,80,0,0,7,4951,5,4950,2,180,2,1,0,0,0,0,0,6,0,44500,0,0,0,0,0,0,0,0,0,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield PD,20649,0,0,0,0,0,0,5,1,0,0,3,250,3,403,0,0,1,2283,0,0,0,0,1,0,2,1,0,0,2,0,4,3,0,0,2,1,8,3,8,4,17,18647,35,149004,0,0,4,14235,13,42971,0,0,40,4,26,4,3,1,0,0,1,60,96,13883,40,22597,34,28291,10,1211,38,19074,0,0,187,294862,181,364026,142,14714,83,1238,102,22,2,2,0,8,4,103631,0,0,0,0,0,0,0,0,0,295,42,33481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton CSP,5289,0,0,0,0,0,0,0,0,0,0,0,0,2,2779,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37470,1,0,0,0,0,0,3,670,0,0,4,0,1,0,2,0,0,0,0,0,1,360,2,470,2,2300,0,0,0,0,0,0,18,43587,18,46354,3,312,2,51,5,0,0,1,0,0,0,13600,0,0,0,0,0,0,1,0,10,28,18,4594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bozrah CSP,2486,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1340,2,4510,0,0,1,10,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,400,0,0,0,0,1,4200,0,0,6,6797,6,11354,0,0,2,43,2,1,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,14,9,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Branford PD,30239,0,0,0,0,0,0,0,0,0,0,2,801,4,591,1,500,0,0,0,0,1,5050,2,614,4,1,1,1,3,1,2,3,0,0,3,0,1,1,7,2,11,15369,28,82795,0,0,12,15990,5,150,0,0,40,8,15,4,1,1,0,0,1,538,124,31142,156,98034,24,5667,14,3994,102,178602,0,0,177,286974,262,590550,116,12069,220,2332,130,21,4,2,0,1,0,84378,0,0,0,0,0,0,1,0,1,258,83,114034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeport PD,147101,22,15,0,0,0,0,376,39,12,5,445,232289,63,71000,2,5000,4,1428,78,79267,5,16800,9,2942,235,41,44,9,42,12,285,56,134,45,183,114,283,142,144,74,273,512270,526,984555,340,780166,162,257643,32,38289,44,111136,745,61,514,46,118,12,11,4584,19,8192,340,36641,809,401551,641,113820,91,17522,216,90793,2,4102,779,776548,1083,1313727,904,108428,921,31598,317,740,52,76,4,52,15,3922912,4,2,1120350,21,0,179525,0,0,0,3063,1412,1504045,3,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,2,0,1,0,1,0,0,2,8,8,0,99,99
Bridgewater CSP,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,750,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,8330,0,0,0,0,1,4000,0,0,5,9163,5,21361,1,130,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
